fw	class	nMethods	nPorted
Flexo	FFColorSettingsTool	48	0
ProCore	PCHashWriteStream	47	0
ProCore	PCBinaryXMLWriteStream	47	0
Ozone	OZMaterialLayerBase	47	0
Ozone	OZMaterialCompoundLayer	47	0
Ozone	OZFxXPCAPIMediator	47	0
Ozone	OZShareManager	47	0
Flexo	FFInspectorModuleProjectSharing	47	0
Flexo	FFEventMediaSidebarModule	47	0
Flexo	FFTheaterRepresentation	47	0
Flexo	FFConsolidateLibraryFilesController	47	0
Flexo	FFEditorModule	47	0
Flexo	FFTransportControlsOSC	47	0
Helium	HGLinearFilter2D	47	0
Ozone	OZStyle	46	0
Ozone	OZHUDManager	46	0
Flexo	FFAudioObjectComponentsLayoutItem	46	0
Flexo	FFMediaSource	46	0
Flexo	FFSkimmableProxy	46	0
Flexo	FFCreateClipsForModelChangesOperation	46	0
Flexo	FFTranslateSequenceItemChangesToStoryOperation	46	0
Flexo	FFHe360TransformEffect	46	0
Flexo	FFHGRendererManager	46	0
Flexo	FFAudioSurroundPannerView	46	0
Flexo	FFDataListCaptionsViewController	46	0
Flexo	FFSegmentationMaskEditorLayer	46	0
Ozone	OZObjectSimulator	45	0
Ozone	non-virtual thunk to OZFxFilter	45	0
Ozone	OZTrackerMotionSpecific	45	0
Ozone	OZTimeAxis	45	0
Ozone	OZDistributeLayersPanelController	45	0
Ozone	TMManager	45	0
Flexo	FFAudioDeviceObject	45	0
Flexo	FFCaptionImportFileSelector	45	0
Flexo	FFURLDownloadTask	45	0
Flexo	FFMIOAFCDevice	45	0
Flexo	FFTimelineDFRController	45	0
Flexo	FFFilmstrip	45	0
Flexo	FFFilmstripSelectionLayer	45	0
Flexo	FFOrganizerProjectChunk	45	0
Flexo	FFCameraArchiveController	45	0
Flexo	FFMediaSidebarLibrarySectionNode	45	0
Flexo	FFREDRAWSettings	45	0
Flexo	FFCombinedCropOSC	45	0
Flexo	FFRenderer	45	0
Flexo	FFStreamVideo	45	0
Helium	HGMetalTexture	45	0
ProChannel	OZChannelEnum	44	0
ProCore	PCBitmap	44	0
Ozone	OZSaveManager	44	0
Ozone	OZTimelineLayerCoordinator	44	0
Flexo	FFAnchoredFlexMusicObject	44	0
Flexo	FFVerticalOrderManager	44	0
Flexo	FFVolumeDFRController	44	0
Flexo	FFOrganizerFilterHUD	44	0
Flexo	FFMDModule	44	0
Flexo	FFVideoScopesWaveformBodyLayer	44	0
Flexo	FFPlayerFrame	44	0
Flexo	PETimelineItemLayer	44	0
ProCore	PCHMDRender	43	0
Ozone	OZFxGenerator	43	0
Ozone	OZMaterialDiffuseLayer	43	0
Ozone	OZTimingControlModule	43	0
Flexo	FFFlowMediaRep	43	0
Flexo	FFMIOPTPDevice	43	0
Flexo	FFRoleChangeOperation	43	0
Flexo	FFAddEffectCommand	43	0
Flexo	FFTimelineDupeIndicatorLayerUpdateDelegate	43	0
Flexo	FFHeTrimEffect	43	0
Flexo	FFCaptionEditorViewModule	43	0
Flexo	FFProMediaSidebarModule	43	0
Flexo	FFMotionPath	43	0
Flexo	FFMatchTool	43	0
Flexo	FFSharePanelRolesPresetsDelegate	43	0
Flexo	FFTranscriptionCoordinator	43	0
ProCore	PCXMLWriteStream	42	0
ProCore	PCWorkingColor	42	0
Ozone	non-virtual thunk to OZEffect	42	0
Ozone	OZFxPlugParameterHandler_v4	42	0
Flexo	FFMXFVideoCursor	42	0
Flexo	FFMediaEventController	42	0
Flexo	FFMetadataViewSet	42	0
Flexo	EDTUpdateDupeDetectorOperation	42	0
Flexo	FFCPSProjectInfoVC	42	0
Flexo	FFInspectorEffectsController	42	0
Flexo	FFMDGeneratorsModule	42	0
Flexo	FFMDTitleModule	42	0
Flexo	TheaterUbiquityProgressWatcher	42	0
Flexo	FFMetalVideoPainter	42	0
Flexo	FFAutoMatchColorTool	42	0
Flexo	FFConsumerSourceCropTool	42	0
Flexo	FFVerticalIndexPath	42	0
Flexo	FFEditActionMgr	42	0
Flexo	libCompressorKit	42	0
ProChannel	OZChannelPosition3D	41	0
ProCore	PCInfo	41	0
ProCore	Json::Reader	41	0
Ozone	OZAlignToBehavior	41	0
Ozone	OZLibraryThumbnailMatrix	41	0
Ozone	CALayer	41	0
Ozone	TMDocument	41	0
Ozone	OZFootageNodeWrapper	41	0
Flexo	FFScheduledReadAudioFile	41	0
Flexo	FFUserDefaults	41	0
Flexo	FFProjectDocument	41	0
Flexo	FFTimelineIndexClipsTableViewDupeIndicatorUpdateDelegate	41	0
Flexo	MicaAnimator	41	0
Flexo	FFShareDestinationFileController	41	0
Flexo	FFAddMaskPopoverController	41	0
Flexo	FFVideoView	41	0
Flexo	FFBrickListView	41	0
Flexo	FFBrickTreeView	41	0
Flexo	FFSegmentReadSample	41	0
ProCore	PCSerializerReadStream	40	0
Ozone	OZChanObjectRefWithPicker	40	0
Flexo	FFShape	40	0
Flexo	FFAssetCopyQueue	40	0
Flexo	FFPentaSliderCell	40	0
Flexo	FFMediaRefChannel	40	0
Flexo	FFStory	40	0
Flexo	FFRateConformEffect	40	0
Flexo	FFHGAsyncFanoutJob	40	0
Flexo	FFShareDestinationVimeoController	40	0
Flexo	FFProResRAWSettingsHud	40	0
Flexo	FFInfoTool	40	0
Flexo	FFMapSettingsTool	40	0
Flexo	FFSequenceExporter	40	0
Flexo	FFObjectCache	40	0
Helium	HGRenderNode	40	0
Helium	HGGLShaderCache	40	0
ProChannel	OZDynamicSpline	39	0
ProChannel	OZChannelGradient	39	0
ProCore	PCBinaryXMLStreamElement	39	0
Ozone	non-virtual thunk to OZSceneNode	39	0
Ozone	OZMaterialDistressLayer	39	0
Ozone	OZChannelBehavior	39	0
Flexo	FFAudioPlaybackMediator	39	0
Flexo	MXF::FileReader	39	0
Flexo	FFAssetRef	39	0
Flexo	FFImportFileSystemSidebarItem	39	0
Flexo	FFEffectConsolidationController	39	0
Flexo	FFImageRepMultiPlanarHGBuffer	39	0
Flexo	FFInspectorController	39	0
Flexo	FFConsumerMediaSidebarModule	39	0
Flexo	FFMediaExtensionManager	39	0
